Date,Machine_ID,Retailer_ID,Terminal_ID,termType,Chain_ID,TMID,Location_City,Zip,Scratchers_Sales,Out_of_Stock__
7/12/2019,11847_4,11847,4,PHD,0,107,C,85998,672,0.0098
7/12/2019,12795_3,12795,3,PHD,0,209,C,85998,684,0.0029
7/12/2019,14881_2,14881,2,PHD,8128,302,B,85965,542,0.0043
7/12/2019,15155_3,15155,3,PHD,0,107,C,85999,1526,0.0408
7/12/2019,15159_2,15159,2,PHD,8052,209,C,85998,1465,0.0137
7/12/2019,15159_3,15159,3,PHD,8052,209,C,85998,1562,0.0005
7/12/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,343,0.1748
7/12/2019,15490_2,15490,2,PHD,0,101,A,86884,479,0.0168
7/12/2019,16570_2,16570,2,PHD,8011,101,A,86881,562,0
7/12/2019,18192_3,18192,3,PHD,8128,209,C,85999,1745,0.1112
7/12/2019,35016_2,35016,2,PHD,8011,107,C,85997,1032,0.0252
7/12/2019,40212_2,40212,2,PHD,8128,101,A,86883,1053,0.0294
7/12/2019,45189_3,45189,3,PHD,8128,101,A,86883,480,0
7/12/2019,52290_3,52290,3,PHD,8052,101,A,86880,647,0.0369
7/12/2019,61747_3,61747,3,PHD,8011,101,A,86880,698,0.0188
7/12/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/12/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/12/2019,65783_2,65783,2,PHD,0,209,C,85999,76,0
7/12/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/13/2019,10488_2,10488,2,PHD,8128,101,A,86880,1308,0.067
7/13/2019,10504_2,10504,2,PHD,8128,101,A,86883,637,0.0001
7/13/2019,11198_2,11198,2,PHD,8052,302,B,85965,1074,0.0571
7/13/2019,11800_3,11800,3,PHD,9849,209,C,85998,834,0.143
7/13/2019,11847_4,11847,4,PHD,0,107,C,85998,461,0.0019
7/13/2019,12795_3,12795,3,PHD,0,209,C,85998,1138,0.0168
7/13/2019,14881_2,14881,2,PHD,8128,302,B,85965,941,0.0206
7/13/2019,15155_3,15155,3,PHD,0,107,C,85999,1062,0.0987
7/13/2019,15159_2,15159,2,PHD,8052,209,C,85998,1404,0.0151
7/13/2019,15159_3,15159,3,PHD,8052,209,C,85998,2078,0
7/13/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,0,0.25
7/13/2019,15490_2,15490,2,PHD,0,101,A,86884,417,0.0308
7/13/2019,16570_2,16570,2,PHD,8011,101,A,86881,345,0
